variant,theta_label,log_sigma_v2,log_sigma_w2,sigma_v2,sigma_w2,seed,loglik,grad_log_sigma_v2,grad_log_sigma_w2,grad_norm,finite_loglik,finite_grad,elapsed_s,error
full,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,364574,-79.04366302490234,53512306688.0,-10038046720.0,54445655005.91826,1,1,1.722785234451294,
full,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,372493,-162.780517578125,97.65284729003906,27.138765335083008,101.35379207392485,1,1,1.6512811183929443,
full,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,380412,-81.97293853759766,-43041856.0,44032344.0,61574740.649547786,1,1,1.5687737464904785,
full,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,388331,-78.85911560058594,-65771380.0,10852355.0,66660693.33685651,1,1,1.6392788887023926,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,300,-81.91443634033203,-1.577438408605696e+16,5397692096184320.0,1.6672320572123658e+16,1,1,1.6209893226623535,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,8219,-82.33846282958984,6031684403200.0,4529009983488.0,7542754680508.9795,1,1,1.5612812042236328,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,16138,-79.87374114990234,-286262019751936.0,1311887828451328.0,1342756723457826.8,1,1,1.722754955291748,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,24057,-80.69508361816406,-2797352733638656.0,-680544748699648.0,2878944853827236.5,1,1,1.6100029945373535,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,31976,-76.11717987060547,720096565657600.0,-81281274609664.0,724669379423500.9,1,1,1.5667169094085693,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,39895,-25000020.0,nan,nan,nan,1,0,1.5521957874298096,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,47814,-4000081.25,nan,nan,nan,1,0,1.5701508522033691,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,55733,-73.47564697265625,9.8382247459029e+16,-1.860540318928077e+16,1.0012605876057099e+17,1,1,1.6246337890625,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,63652,-95.16607666015625,-17381713772544.0,878715338752.0,17403910891440.574,1,1,1.6242499351501465,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,71571,-134.7486572265625,1443.82666015625,-296.22564697265625,1473.9013055501105,1,1,1.5642940998077393,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,79490,-79.77620697021484,594010177536.0,-11468443648.0,594120876771.7708,1,1,1.611677885055542,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,87409,-79.08204650878906,5.387502522497761e+17,3.929016566049407e+18,3.9657815132190367e+18,1,1,1.6398100852966309,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,95328,-81.96444702148438,39444912537600.0,3750466158592.0,39622810620975.1,1,1,1.5744948387145996,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,103247,-136.09521484375,37.393348693847656,-8.226935386657715,38.287661098530414,1,1,1.6972219944000244,
