t,x_true,vx_true,y_true,vy_true,x_filt_r,vx_filt_r,y_filt_r,vy_filt_r,x_filt_j,vx_filt_j,y_filt_j,vy_filt_j
77,18.926977157592773,3.1875789165496826,-92.80194854736328,2.7610983848571777,20.44917106628418,2.012448787689209,-89.8244857788086,2.4798150062561035,20.449169158935547,2.01244854927063,-89.8244857788086,2.4798130989074707
78,22.258460998535156,3.475388526916504,-90.0010986328125,2.8405919075012207,21.119239807128906,1.7141422033309937,-91.41498565673828,1.575300931930542,21.119239807128906,1.714142084121704,-91.41498565673828,1.5752990245819092
79,25.659692764282227,3.327075958251953,-86.69342041015625,3.774773120880127,23.92546844482422,1.9568283557891846,-89.97552490234375,1.5451147556304932,23.92547035217285,1.956828236579895,-89.97552490234375,1.5451128482818604
80,28.985597610473633,3.324733018875122,-82.65182495117188,4.308422088623047,29.202871322631836,2.6947336196899414,-85.3961181640625,2.219402313232422,29.20287322998047,2.6947333812713623,-85.3961181640625,2.219400405883789
81,32.17786407470703,3.059800148010254,-78.23814392089844,4.518936634063721,31.747047424316406,2.66127610206604,-80.35926818847656,2.845500946044922,31.747047424316406,2.661275863647461,-80.3592758178711,2.8454995155334473
82,34.96106719970703,2.5066041946411133,-73.86331176757812,4.230723857879639,34.087406158447266,2.589960813522339,-77.95771026611328,2.7468466758728027,34.087406158447266,2.5899605751037598,-77.95771789550781,2.7468466758728027
83,37.33789825439453,2.2470571994781494,-69.34390258789062,4.808108806610107,35.55116653442383,2.339693784713745,-71.94859313964844,3.4717960357666016,35.55116653442383,2.339693546295166,-71.94859313964844,3.4717965126037598
84,39.5825309753418,2.2422051429748535,-64.49225616455078,4.895188331604004,39.5569953918457,2.7099456787109375,-66.31732940673828,3.95167875289917,39.5569953918457,2.7099452018737793,-66.31732940673828,3.951679229736328
85,41.832969665527344,2.2586708068847656,-59.447235107421875,5.194859504699707,43.21572494506836,2.9207868576049805,-63.08395767211914,3.792055130004883,43.21572494506836,2.9207863807678223,-63.08395767211914,3.792055606842041
86,44.21335983276367,2.502105951309204,-54.33428955078125,5.031033515930176,45.37184143066406,2.7508597373962402,-57.45530700683594,4.200186729431152,45.37184143066406,2.750859260559082,-57.45530700683594,4.2001872062683105
87,46.6934700012207,2.4581124782562256,-49.39060592651367,4.8563385009765625,46.562530517578125,2.4041552543640137,-52.554561614990234,4.355866432189941,46.562530517578125,2.4041547775268555,-52.554561614990234,4.3558669090271
88,49.338314056396484,2.8315813541412354,-44.70912170410156,4.5066304206848145,47.669464111328125,2.1158833503723145,-47.03176498413086,4.615184783935547,47.669464111328125,2.1158828735351562,-47.03176498413086,4.615185260772705
89,52.09385681152344,2.6795012950897217,-40.810302734375,3.291010856628418,46.90394973754883,1.4755727052688599,-40.60832214355469,5.017019748687744,46.90394973754883,1.4755722284317017,-40.60832214355469,5.017020225524902
90,54.58637619018555,2.305542230606079,-37.474632263183594,3.38032865524292,50.62614440917969,1.974821925163269,-35.583438873291016,5.018767356872559,50.62614440917969,1.9748218059539795,-35.583438873291016,5.018767833709717
91,56.839637756347656,2.2009801864624023,-34.263336181640625,3.04226016998291,54.63459014892578,2.4267380237579346,-36.68876647949219,3.6578567028045654,54.63459014892578,2.4267380237579346,-36.68877029418945,3.6578571796417236
92,58.9753532409668,2.0704472064971924,-31.05665397644043,3.3711047172546387,55.75199508666992,2.135774612426758,-31.535058975219727,3.9902682304382324,55.75199508666992,2.135774612426758,-31.53506088256836,3.990269184112549
93,60.63901901245117,1.2568880319595337,-27.585880279541016,3.570441484451294,59.333499908447266,2.457047462463379,-28.750734329223633,3.722280502319336,59.333499908447266,2.457047462463379,-28.750736236572266,3.7222816944122314
