method,method_label,theta_label,log_sigma_v2,log_sigma_w2,sigma_v2,sigma_w2,seed,loglik,grad_log_sigma_v2,grad_log_sigma_w2,grad_norm,finite_loglik,finite_grad,elapsed_s,error
legacy_ledh,Legacy differentiable LEDH,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,55733,-91.87589263916016,-3122952.0,1227027.875,3355357.894521986,1,1,0.2999718189239502,
legacy_ledh,Legacy differentiable LEDH,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,63652,-94.01785278320312,10567.875,449.4496154785156,10577.428183281549,1,1,0.3114748001098633,
legacy_ledh,Legacy differentiable LEDH,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,71571,-92.97469329833984,-149858.03125,-21702.509765625,151421.36064721193,1,1,0.30238914489746094,
legacy_ledh,Legacy differentiable LEDH,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,79490,-93.98133850097656,6146.1455078125,3350.36083984375,7000.0015971685525,1,1,0.2946131229400635,
legacy_ledh,Legacy differentiable LEDH,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,87409,-91.62650299072266,-4735472.5,90903.5078125,4736344.924727174,1,1,0.3022172451019287,
legacy_ledh,Legacy differentiable LEDH,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,95328,-93.00982666015625,-24381.640625,-1961.046630859375,24460.37823614049,1,1,0.3104100227355957,
legacy_ledh,Legacy differentiable LEDH,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,103247,-93.73393249511719,131012.5703125,-16048.611328125,131991.86151217422,1,1,0.3109302520751953,
legacy_ledh,Legacy differentiable LEDH,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,111166,-93.53312683105469,1648.3021240234375,-11303.1416015625,11422.692762962377,1,1,0.2952079772949219,
legacy_ledh,Legacy differentiable LEDH,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,119085,-92.8553695678711,76241.7734375,948.0991821289062,76247.66821978384,1,1,0.2940948009490967,
legacy_ledh,Legacy differentiable LEDH,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,127004,-93.85940551757812,406806.6875,-43114.9609375,409085.0533218793,1,1,0.306398868560791,
legacy_ledh,Legacy differentiable LEDH,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,134923,-95.47371673583984,-173811.65625,-1795.1822509765625,173820.9266103549,1,1,0.31888508796691895,
legacy_ledh,Legacy differentiable LEDH,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,142842,-94.0257339477539,136491.03125,-51473.71875,145874.416309518,1,1,0.3105940818786621,
legacy_ledh,Legacy differentiable LEDH,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,150761,-91.3652572631836,-169599.5625,-3427.381103515625,169634.19036686013,1,1,0.31432199478149414,
legacy_ledh,Legacy differentiable LEDH,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,300,-95.09304809570312,-1828472.5,923964.1875,2048663.3454618123,1,1,0.30365490913391113,
legacy_ledh,Legacy differentiable LEDH,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,8219,-91.88665771484375,-9895.94921875,-102928.265625,103402.89007329842,1,1,0.31321191787719727,
legacy_ledh,Legacy differentiable LEDH,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,16138,-93.7286376953125,2870211.25,-57858.10546875,2870794.3465171787,1,1,1.388659954071045,
legacy_ledh,Legacy differentiable LEDH,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,24057,-91.98914337158203,141599.59375,-76719.5078125,161047.59491888504,1,1,0.2963409423828125,
legacy_ledh,Legacy differentiable LEDH,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,31976,-94.19132995605469,-315561.0,12896.861328125,315824.43501590705,1,1,0.2989809513092041,
legacy_ledh,Legacy differentiable LEDH,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,39895,-93.4274673461914,531448.75,19311.1875,531799.4883781129,1,1,0.3019449710845947,
legacy_ledh,Legacy differentiable LEDH,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,47814,-92.6610107421875,61991.671875,13981.89453125,63548.88477810342,1,1,0.29750871658325195,
legacy_ledh,Legacy differentiable LEDH,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,55733,-92.42710876464844,34414.92578125,45265.0234375,56862.19713769747,1,1,0.31951308250427246,
legacy_ledh,Legacy differentiable LEDH,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,63652,-93.87699127197266,-207285.5625,218163.46875,300936.2117093482,1,1,0.3507039546966553,
legacy_ledh,Legacy differentiable LEDH,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,71571,-93.8515853881836,611085.3125,606169.1875,860735.9310657554,1,1,0.3417341709136963,
legacy_ledh,Legacy differentiable LEDH,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,79490,-95.91898345947266,-128825.5703125,-148906.46875,196898.86744706178,1,1,0.3052091598510742,
legacy_ledh,Legacy differentiable LEDH,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,87409,-93.10757446289062,-6918091.0,-78122.8984375,6918532.08936269,1,1,0.31229424476623535,
legacy_ledh,Legacy differentiable LEDH,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,95328,-94.75045013427734,-118388.0859375,-61228.046875,133283.95483355108,1,1,0.2995719909667969,
legacy_ledh,Legacy differentiable LEDH,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,103247,-92.64647674560547,-29867264.0,-760515.5625,29876945.00390729,1,1,0.29587793350219727,
legacy_ledh,Legacy differentiable LEDH,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,111166,-94.18406677246094,179341.3125,4510.5087890625,179398.0241216688,1,1,0.2953920364379883,
legacy_ledh,Legacy differentiable LEDH,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,119085,-93.71583557128906,-346920.75,169186.53125,385976.7987029398,1,1,0.29583096504211426,
legacy_ledh,Legacy differentiable LEDH,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,127004,-93.84078979492188,346046.75,36727.80078125,347990.3512107623,1,1,0.29530906677246094,
legacy_ledh,Legacy differentiable LEDH,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,134923,-95.6340103149414,358434.875,184633.65625,403193.68377556314,1,1,0.2980201244354248,
legacy_ledh,Legacy differentiable LEDH,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,142842,-93.66885375976562,-232751.640625,-23370.6953125,233922.02891779743,1,1,0.2951509952545166,
legacy_ledh,Legacy differentiable LEDH,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,150761,-93.0594253540039,201137.5625,-177445.46875,268222.32089881826,1,1,0.30069518089294434,
legacy_ledh,Legacy differentiable LEDH,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,300,-93.00313568115234,-47427.47265625,-2405.65576171875,47488.44430177969,1,1,0.3117408752441406,
legacy_ledh,Legacy differentiable LEDH,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,8219,-93.61673736572266,46147.53515625,-20313.15234375,50420.424027746194,1,1,0.2982337474822998,
legacy_ledh,Legacy differentiable LEDH,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,16138,-92.90039825439453,331130.3125,26511.23828125,332189.8999240538,1,1,0.29763102531433105,
legacy_ledh,Legacy differentiable LEDH,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,24057,-93.92011260986328,-410170.4375,3620.873779296875,410186.4192362626,1,1,1.3638811111450195,
