variant,theta_label,log_sigma_v2,log_sigma_w2,sigma_v2,sigma_w2,seed,loglik,grad_log_sigma_v2,grad_log_sigma_w2,grad_norm,finite_loglik,finite_grad,elapsed_s,error
stop_logdet_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,31976,-71.45693969726562,434181344.0,-102249296.0,446058693.45876664,1,1,0.9171998500823975,
stop_logdet_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,39895,-84.40235900878906,-44558061568.0,18959591424.0,48424032852.11479,1,1,0.9254209995269775,
stop_logdet_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,47814,-9000058.0,nan,nan,nan,1,0,0.9630746841430664,
stop_logdet_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,55733,-75.8795166015625,-1177993.25,1222235.75,1697506.5023803664,1,1,0.943580150604248,
stop_logdet_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,63652,-83.41124725341797,56450992.0,2559765.25,56508998.3623774,1,1,1.015260934829712,
stop_logdet_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,71571,-79.10694122314453,6276.857421875,-695.7891845703125,6315.303768142297,1,1,0.9223811626434326,
stop_logdet_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,300,-75.76358795166016,222908.09375,-40842.63671875,226618.9295566427,1,1,0.934128999710083,
stop_logdet_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,8219,-78.67141723632812,57524.3984375,1581314.5,1582360.4533499458,1,1,0.9788107872009277,
stop_logdet_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,16138,-129.9085235595703,83736.3125,-29248.36328125,88697.44520407355,1,1,0.9448981285095215,
stop_logdet_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,24057,-134.56698608398438,572.3514404296875,-21.606201171875,572.759111050202,1,1,0.997546911239624,
stop_logdet_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,31976,-74.83483123779297,80294096.0,-2695694.25,80339334.20153978,1,1,0.9480669498443604,
stop_logdet_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,39895,-85.0785140991211,142334525440.0,-8865778688.0,142610375372.8129,1,1,0.9270410537719727,
stop_logdet_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,47814,-83.41910552978516,6276940.0,-6971232.0,9380727.656286798,1,1,0.9806227684020996,
stop_logdet_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,55733,-75.95244598388672,14453458944.0,2593565440.0,14684313301.528812,1,1,0.9277591705322266,
